Date,Rank,Title,Artist,Peak Position,Weeks on Chart
2010-01-01,1,TiK ToK,Ke$ha,1,11
2010-01-01,2,Empire State Of Mind,Jay-Z + Alicia Keys,1,15
2010-01-01,3,Bad Romance,Lady Gaga,2,8
2010-01-01,4,Replay,Iyaz,4,18
2010-01-01,5,Fireflies,Owl City,1,18
2010-01-01,6,Sexy Chick,David Guetta Featuring Akon,6,20
2010-01-01,7,Whatcha Say,Jason Derulo,1,19
2010-01-01,8,Down,Jay Sean Featuring Lil Wayne,1,25
2010-01-01,9,Meet Me Halfway,The Black Eyed Peas,7,14
2010-01-01,10,3,Britney Spears,1,11
2010-01-01,11,Hard,Rihanna Featuring Jeezy,11,5
2010-01-01,12,BedRock,Young Money Featuring Lloyd,12,4
2010-01-01,13,How Low,Ludacris,13,2
2010-01-01,14,Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,14,7
2010-01-01,15,Paparazzi,Lady Gaga,6,17
2010-01-01,16,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",8,14
2010-01-01,17,Sweet Dreams,Beyonce,10,22
2010-01-01,18,Already Gone,Kelly Clarkson,13,21
2010-01-01,19,Party In The U.S.A.,Miley Cyrus,2,19
2010-01-01,20,I Gotta Feeling,The Black Eyed Peas,1,28
2010-01-01,21,Need You Now,Lady Antebellum,5,19
2010-01-01,22,You Belong With Me,Taylor Swift,2,35
2010-01-01,23,Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,23,9
2010-01-01,24,I Can Transform Ya,Chris Brown Featuring Lil Wayne & Swizz Beatz,20,11
2010-01-01,25,Use Somebody,Kings Of Leon,4,47
2010-01-01,26,Money To Blow,Birdman Featuring Lil Wayne & Drake,26,11
2010-01-01,27,Try Sleeping With A Broken Heart,Alicia Keys,27,5
2010-01-01,28,Evacuate The Dancefloor,Cascada,25,19
2010-01-01,29,Hell Breaks Loose,Eminem Featuring Dr. Dre,29,1
2010-01-01,30,Fifteen,Taylor Swift,23,16
2010-01-01,31,Tie Me Down,New Boyz Featuring Ray J,31,10
2010-01-01,32,"Hey, Soul Sister",Train,32,12
2010-01-01,33,Live Like We're Dying,Kris Allen,33,8
2010-01-01,34,Say Aah,Trey Songz Featuring Fabolous,34,6
2010-01-01,35,Gangsta Luv,Snoop Dogg Featuring The-Dream,35,9
2010-01-01,36,Baby By Me,50 Cent Featuring Ne-Yo,28,8
2010-01-01,37,Run This Town,"Jay-Z, Rihanna & Kanye West",2,21
2010-01-01,38,Telephone,Lady Gaga Featuring Beyonce,30,4
2010-01-01,39,Cowboy Casanova,Carrie Underwood,11,14
2010-01-01,40,Give It Up To Me,Shakira Featuring Lil Wayne,29,6
2010-01-01,41,According To You,Orianthi,41,3
2010-01-01,42,I Invented Sex,Trey Songz Featuring Drake,42,9
2010-01-01,43,Do I,Luke Bryan,34,16
2010-01-01,44,Fallin' For You,Colbie Caillat,12,25
2010-01-01,45,Consider Me Gone,Reba,38,12
2010-01-01,46,If You Only Knew,Shinedown,42,8
2010-01-01,47,One Time,Justin Bieber,20,22
2010-01-01,48,The Truth,Jason Aldean,47,7
2010-01-01,49,It Kills Me,Melanie Fiona,49,5
2010-01-01,50,Southern Voice,Tim McGraw,49,9
2010-01-01,51,Spotlight,Gucci Mane Featuring Usher,42,8
2010-01-01,52,White Liar,Miranda Lambert,38,10
2010-01-01,53,Russian Roulette,Rihanna,9,9
2010-01-01,54,Smile,Uncle Kracker,47,20
2010-01-01,55,Empire State Of Mind (Part II) Broken Down,Alicia Keys,55,1
2010-01-01,56,Uprising,Muse,37,15
2010-01-01,57,I Wanna Make You Close Your Eyes,Dierks Bentley,52,12
2010-01-01,58,Life After You,Daughtry,58,3
2010-01-01,59,Carry Out,Timbaland Featuring Justin Timberlake,31,3
2010-01-01,60,One Less Lonely Girl,Justin Bieber,16,10
2010-01-01,61,Papers,Usher,31,10
2010-01-01,62,Never Gonna Be Alone,Nickelback,61,8
2010-01-01,63,Red Light,David Nail,54,13
2010-01-01,64,Why Don't We Just Dance,Josh Turner,64,6
2010-01-01,65,I Am,Mary J. Blige,65,2
2010-01-01,66,History In The Making,Darius Rucker,64,8
2010-01-01,67,Elevator,Eminem,67,1
2010-01-01,68,Crawl,Chris Brown,60,4
2010-01-01,69,Shut It Down,Pitbull Featuring Akon,69,3
2010-01-01,70,In My Head,Jason Derulo,63,2
2010-01-01,71,Haven't Met You Yet,Michael Buble,57,12
2010-01-01,72,Whataya Want From Me,Adam Lambert,72,1
2010-01-01,73,Eight Second Ride,Jake Owen,70,7
2010-01-01,74,Someday,Rob Thomas,72,7
2010-01-01,75,I Wanna Rock,Snoop Dogg,75,2
2010-01-01,76,Bonfire,Craig Morgan,57,13
2010-01-01,77,Wasted,Gucci Mane Featuring Plies Or OJ Da Juiceman,36,16
2010-01-01,78,All The Right Moves,OneRepublic,53,11
2010-01-01,79,Sex Therapy,Robin Thicke,79,1
2010-01-01,80,Body Language,Jesse McCartney Featuring T-Pain,35,12
2010-01-01,81,I Will Not Bow,Breaking Benjamin,40,16
2010-01-01,82,Break,Three Days Grace,82,15
2010-01-01,83,Bad Habits,Maxwell,71,13
2010-01-01,84,On Fire,Lil Wayne,62,2
2010-01-01,85,Heartbreak Warfare,John Mayer,85,2
2010-01-01,86,American Saturday Night,Brad Paisley,86,3
2010-01-01,87,That's How Country Boys Roll,Billy Currington,85,4
2010-01-01,88,Cryin' For Me (Wayman's Song),Toby Keith,88,3
2010-01-01,89,Breakeven,The Script,89,3
2010-01-01,90,1901,Phoenix,87,3
2010-01-01,91,Halfway Gone,Lifehouse,91,2
2010-01-01,92,Gettin' You Home,Chris Young,33,19
2010-01-01,93,Imma Be,The Black Eyed Peas,50,3
2010-01-01,94,Hey Daddy (Daddy's Home),Usher Featuring Plies,94,1
2010-01-01,95,(If You're Wondering If I Want You To) I Want You To,Weezer,81,8
2010-01-01,96,Kings And Queens,Thirty Seconds To Mars,82,4
2010-01-01,97,I'm Going In,Drake Featuring Lil Wayne & Young Jeezy,40,14
2010-01-01,98,I Get It In,Omarion Featuring Gucci Mane,83,7
2010-01-01,99,Drop It Low,Ester Dean Featuring Chris Brown,38,15
2010-01-01,100,Video Phone,Beyonce Featuring Lady Gaga,65,4
2010-01-08,1,TiK ToK,Ke$ha,1,12
2010-01-08,2,Replay,Iyaz,2,19
2010-01-08,3,Bad Romance,Lady Gaga,2,9
2010-01-08,4,Fireflies,Owl City,1,19
2010-01-08,5,Empire State Of Mind,Jay-Z + Alicia Keys,1,16
2010-01-08,6,Whatcha Say,Jason Derulo,1,20
2010-01-08,7,Down,Jay Sean Featuring Lil Wayne,1,26
2010-01-08,8,Party In The U.S.A.,Miley Cyrus,2,20
2010-01-08,9,Sexy Chick,David Guetta Featuring Akon,6,21
2010-01-08,10,Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,10,8
2010-01-08,11,Meet Me Halfway,The Black Eyed Peas,7,15
2010-01-08,12,BedRock,Young Money Featuring Lloyd,12,5
2010-01-08,13,3,Britney Spears,1,12
2010-01-08,14,I Gotta Feeling,The Black Eyed Peas,1,29
2010-01-08,15,Paparazzi,Lady Gaga,6,18
2010-01-08,16,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",8,15
2010-01-08,17,One Time,Justin Bieber,17,23
2010-01-08,18,Hard,Rihanna Featuring Jeezy,11,6
2010-01-08,19,You Belong With Me,Taylor Swift,2,36
2010-01-08,20,Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,20,10
2010-01-08,21,I Can Transform Ya,Chris Brown Featuring Lil Wayne & Swizz Beatz,20,12
2010-01-08,22,Need You Now,Lady Antebellum,5,20
2010-01-08,23,How Low,Ludacris,13,3
2010-01-08,24,Sweet Dreams,Beyonce,10,23
2010-01-08,25,Fifteen,Taylor Swift,23,17
2010-01-08,26,Tie Me Down,New Boyz Featuring Ray J,26,11
2010-01-08,27,Evacuate The Dancefloor,Cascada,25,20
2010-01-08,28,Already Gone,Kelly Clarkson,13,22
2010-01-08,29,Cowboy Casanova,Carrie Underwood,11,15
2010-01-08,30,One Less Lonely Girl,Justin Bieber,16,11
2010-01-08,31,Run This Town,"Jay-Z, Rihanna & Kanye West",2,22
2010-01-08,32,Live Like We're Dying,Kris Allen,32,9
2010-01-08,33,Money To Blow,Birdman Featuring Lil Wayne & Drake,26,12
2010-01-08,34,"Hey, Soul Sister",Train,32,13
2010-01-08,35,Use Somebody,Kings Of Leon,4,48
2010-01-08,36,According To You,Orianthi,36,4
2010-01-08,37,Telephone,Lady Gaga Featuring Beyonce,30,5
2010-01-08,38,Fallin' For You,Colbie Caillat,12,26
2010-01-08,39,Naturally,Selena Gomez & The Scene,39,1
2010-01-08,40,Give It Up To Me,Shakira Featuring Lil Wayne,29,7
2010-01-08,41,Gangsta Luv,Snoop Dogg Featuring The-Dream,35,10
2010-01-08,42,Say Aah,Trey Songz Featuring Fabolous,34,7
2010-01-08,43,Russian Roulette,Rihanna,9,10
2010-01-08,44,Smile,Uncle Kracker,44,21
2010-01-08,45,Body Language,Jesse McCartney Featuring T-Pain,35,13
2010-01-08,46,Baby By Me,50 Cent Featuring Ne-Yo,28,9
2010-01-08,47,If You Only Knew,Shinedown,42,9
2010-01-08,48,Steady Mobbin',Young Money Featuring Gucci Mane,48,1
2010-01-08,49,White Liar,Miranda Lambert,38,11
2010-01-08,50,Do I,Luke Bryan,34,17
2010-01-08,51,Uprising,Muse,37,16
2010-01-08,52,Spotlight,Gucci Mane Featuring Usher,42,9
2010-01-08,53,Crawl,Chris Brown,53,5
2010-01-08,54,The Truth,Jason Aldean,47,8
2010-01-08,55,Try Sleeping With A Broken Heart,Alicia Keys,27,6
2010-01-08,56,All The Right Moves,OneRepublic,53,12
2010-01-08,57,Life After You,Daughtry,57,4
2010-01-08,58,Never Gonna Be Alone,Nickelback,58,9
2010-01-08,59,In My Head,Jason Derulo,59,3
2010-01-08,60,Southern Voice,Tim McGraw,49,10
2010-01-08,61,Consider Me Gone,Reba,38,13
2010-01-08,62,I Invented Sex,Trey Songz Featuring Drake,42,10
2010-01-08,63,Haven't Met You Yet,Michael Buble,57,13
2010-01-08,64,I Will Not Bow,Breaking Benjamin,40,17
2010-01-08,65,Hillbilly Bone,Blake Shelton Featuring Trace Adkins,65,1
2010-01-08,66,Imma Be,The Black Eyed Peas,50,4
2010-01-08,67,I Am,Mary J. Blige,65,3
2010-01-08,68,Whataya Want From Me,Adam Lambert,68,2
2010-01-08,69,I'm Going In,Drake Featuring Lil Wayne & Young Jeezy,40,15
2010-01-08,70,It Kills Me,Melanie Fiona,49,6
2010-01-08,71,Carry Out,Timbaland Featuring Justin Timberlake,31,4
2010-01-08,72,Vanilla Twilight,Owl City,72,2
2010-01-08,73,Break,Three Days Grace,73,16
2010-01-08,74,Why Don't We Just Dance,Josh Turner,64,7
2010-01-08,75,I Wanna Make You Close Your Eyes,Dierks Bentley,52,13
2010-01-08,76,Eight Second Ride,Jake Owen,70,8
2010-01-08,77,Drop It Low,Ester Dean Featuring Chris Brown,38,16
2010-01-08,78,Wasted,Gucci Mane Featuring Plies Or OJ Da Juiceman,36,17
2010-01-08,79,Funhouse,P!nk,44,12
2010-01-08,80,Papers,Usher,31,11
2010-01-08,81,History In The Making,Darius Rucker,64,9
2010-01-08,82,Music Box,Eminem,82,1
2010-01-08,83,Red Light,David Nail,54,14
2010-01-08,84,Someday,Rob Thomas,72,8
2010-01-08,85,Breakeven,The Script,85,4
2010-01-08,86,Love Me,Justin Bieber,37,4
2010-01-08,87,Shut It Down,Pitbull Featuring Akon,69,4
2010-01-08,88,Hot Mess,Cobra Starship,64,2
2010-01-08,89,I Wanna Rock,Snoop Dogg,75,3
2010-01-08,90,1901,Phoenix,87,4
2010-01-08,91,Rain,Creed,91,2
2010-01-08,92,Falling Down,Selena Gomez & The Scene,82,7
2010-01-08,93,Heartbreak Warfare,John Mayer,85,3
2010-01-08,94,Sex Therapy,Robin Thicke,79,2
2010-01-08,95,Bonfire,Craig Morgan,57,14
2010-01-08,96,Shots,LMFAO Featuring Lil Jon,96,3
2010-01-08,97,American Honey,Lady Antebellum,97,1
2010-01-08,98,Video Phone,Beyonce Featuring Lady Gaga,65,5
2010-01-08,99,Halfway Gone,Lifehouse,91,3
2010-01-08,100,Kings And Queens,Thirty Seconds To Mars,82,5
2010-01-15,1,TiK ToK,Ke$ha,1,13
2010-01-15,2,Bad Romance,Lady Gaga,2,10
2010-01-15,3,Replay,Iyaz,2,20
2010-01-15,4,Empire State Of Mind,Jay-Z + Alicia Keys,1,17
2010-01-15,5,Fireflies,Owl City,1,20
2010-01-15,6,Sexy Chick,David Guetta Featuring Akon,6,22
2010-01-15,7,Down,Jay Sean Featuring Lil Wayne,1,27
2010-01-15,8,Whatcha Say,Jason Derulo,1,21
2010-01-15,9,I Gotta Feeling,The Black Eyed Peas,1,30
2010-01-15,10,Party In The U.S.A.,Miley Cyrus,2,21
2010-01-15,11,Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,10,9
2010-01-15,12,BedRock,Young Money Featuring Lloyd,12,6
2010-01-15,13,Meet Me Halfway,The Black Eyed Peas,7,16
2010-01-15,14,Paparazzi,Lady Gaga,6,19
2010-01-15,15,Hard,Rihanna Featuring Jeezy,11,7
2010-01-15,16,3,Britney Spears,1,13
2010-01-15,17,You Belong With Me,Taylor Swift,2,37
2010-01-15,18,Drop The World,Lil Wayne Featuring Eminem,18,1
2010-01-15,19,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",8,16
2010-01-15,20,Need You Now,Lady Antebellum,5,21
2010-01-15,21,How Low,Ludacris,13,4
2010-01-15,22,Sweet Dreams,Beyonce,10,24
2010-01-15,23,Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,20,11
2010-01-15,24,One Time,Justin Bieber,17,24
2010-01-15,25,Use Somebody,Kings Of Leon,4,49
2010-01-15,26,Already Gone,Kelly Clarkson,13,23
2010-01-15,27,Evacuate The Dancefloor,Cascada,25,21
2010-01-15,28,Fifteen,Taylor Swift,23,18
2010-01-15,29,"Hey, Soul Sister",Train,29,14
2010-01-15,30,Live Like We're Dying,Kris Allen,30,10
2010-01-15,31,I Can Transform Ya,Chris Brown Featuring Lil Wayne & Swizz Beatz,20,13
2010-01-15,32,Tie Me Down,New Boyz Featuring Ray J,26,12
2010-01-15,33,According To You,Orianthi,33,5
2010-01-15,34,Run This Town,"Jay-Z, Rihanna & Kanye West",2,23
2010-01-15,35,Cowboy Casanova,Carrie Underwood,11,16
2010-01-15,36,Money To Blow,Birdman Featuring Lil Wayne & Drake,26,13
2010-01-15,37,Telephone,Lady Gaga Featuring Beyonce,30,6
2010-01-15,38,Fallin' For You,Colbie Caillat,12,27
2010-01-15,39,One Less Lonely Girl,Justin Bieber,16,12
2010-01-15,40,Say Aah,Trey Songz Featuring Fabolous,34,8
2010-01-15,41,Gangsta Luv,Snoop Dogg Featuring The-Dream,35,11
2010-01-15,42,Naturally,Selena Gomez & The Scene,39,2
2010-01-15,43,Smile,Uncle Kracker,43,22
2010-01-15,44,Give It Up To Me,Shakira Featuring Lil Wayne,29,8
2010-01-15,45,If You Only Knew,Shinedown,42,10
2010-01-15,46,Imma Be,The Black Eyed Peas,46,5
2010-01-15,47,White Liar,Miranda Lambert,38,12
2010-01-15,48,Baby By Me,50 Cent Featuring Ne-Yo,28,10
2010-01-15,49,The Truth,Jason Aldean,47,9
2010-01-15,50,In My Head,Jason Derulo,50,4
2010-01-15,51,Southern Voice,Tim McGraw,49,11
2010-01-15,52,Haven't Met You Yet,Michael Buble,52,14
2010-01-15,53,Do I,Luke Bryan,34,18
2010-01-15,54,Consider Me Gone,Reba,38,14
2010-01-15,55,Try Sleeping With A Broken Heart,Alicia Keys,27,7
2010-01-15,56,Life After You,Daughtry,56,5
2010-01-15,57,Spotlight,Gucci Mane Featuring Usher,42,10
2010-01-15,58,Uprising,Muse,37,17
2010-01-15,59,Russian Roulette,Rihanna,9,11
2010-01-15,60,All The Right Moves,OneRepublic,53,13
2010-01-15,61,Carry Out,Timbaland Featuring Justin Timberlake,31,5
2010-01-15,62,I Invented Sex,Trey Songz Featuring Drake,42,11
2010-01-15,63,Never Gonna Be Alone,Nickelback,58,10
2010-01-15,64,It Kills Me,Melanie Fiona,49,7
2010-01-15,65,Why Don't We Just Dance,Josh Turner,64,8
2010-01-15,66,I Wanna Make You Close Your Eyes,Dierks Bentley,52,14
2010-01-15,67,Body Language,Jesse McCartney Featuring T-Pain,35,14
2010-01-15,68,Hillbilly Bone,Blake Shelton Featuring Trace Adkins,65,2
2010-01-15,69,Crawl,Chris Brown,53,6
2010-01-15,70,Whataya Want From Me,Adam Lambert,68,3
2010-01-15,71,History In The Making,Darius Rucker,64,10
2010-01-15,72,Eight Second Ride,Jake Owen,70,9
2010-01-15,73,I Will Not Bow,Breaking Benjamin,40,18
2010-01-15,74,Someday,Rob Thomas,72,9
2010-01-15,75,Shut It Down,Pitbull Featuring Akon,69,5
2010-01-15,76,Break,Three Days Grace,73,17
2010-01-15,77,Red Light,David Nail,54,15
2010-01-15,78,Wasted,Gucci Mane Featuring Plies Or OJ Da Juiceman,36,18
2010-01-15,79,Heartbreak Warfare,John Mayer,79,4
2010-01-15,80,Papers,Usher,31,12
2010-01-15,81,Steady Mobbin',Young Money Featuring Gucci Mane,48,2
2010-01-15,82,I Am,Mary J. Blige,65,4
2010-01-15,83,Funhouse,P!nk,44,13
2010-01-15,84,Breakeven,The Script,84,5
2010-01-15,85,I'm Going In,Drake Featuring Lil Wayne & Young Jeezy,40,16
2010-01-15,86,Drop It Low,Ester Dean Featuring Chris Brown,38,17
2010-01-15,87,I Wanna Rock,Snoop Dogg,75,4
2010-01-15,88,1901,Phoenix,87,5
2010-01-15,89,American Saturday Night,Brad Paisley,86,4
2010-01-15,90,Vanilla Twilight,Owl City,72,3
2010-01-15,91,Cryin' For Me (Wayman's Song),Toby Keith,88,4
2010-01-15,92,Sex Therapy,Robin Thicke,79,3
2010-01-15,93,Hot Mess,Cobra Starship,64,3
2010-01-15,94,Gettin' You Home,Chris Young,33,20
2010-01-15,95,Shots,LMFAO Featuring Lil Jon,95,4
2010-01-15,96,That's How Country Boys Roll,Billy Currington,85,5
2010-01-15,97,Temporary Home,Carrie Underwood,92,2
2010-01-15,98,Halfway Gone,Lifehouse,91,4
2010-01-15,99,American Honey,Lady Antebellum,97,2
2010-01-15,100,(If You're Wondering If I Want You To) I Want You To,Weezer,81,9
2010-01-22,1,TiK ToK,Ke$ha,1,14
2010-01-22,2,Bad Romance,Lady Gaga,2,11
2010-01-22,3,Empire State Of Mind,Jay-Z + Alicia Keys,1,18
2010-01-22,4,Replay,Iyaz,2,21
2010-01-22,5,Fireflies,Owl City,1,21
2010-01-22,6,Sexy Chick,David Guetta Featuring Akon,6,23
2010-01-22,7,Blah Blah Blah,Ke$ha Featuring 3OH!3,7,1
2010-01-22,8,BedRock,Young Money Featuring Lloyd,8,7
2010-01-22,9,Hard,Rihanna Featuring Jeezy,9,8
2010-01-22,10,Down,Jay Sean Featuring Lil Wayne,1,28
2010-01-22,11,Whatcha Say,Jason Derulo,1,22
2010-01-22,12,I Gotta Feeling,The Black Eyed Peas,1,31
2010-01-22,13,Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,10,10
2010-01-22,14,How Low,Ludacris,13,5
2010-01-22,15,3,Britney Spears,1,14
2010-01-22,16,You Belong With Me,Taylor Swift,2,38
2010-01-22,17,Party In The U.S.A.,Miley Cyrus,2,22
2010-01-22,18,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",8,17
2010-01-22,19,Need You Now,Lady Antebellum,5,22
2010-01-22,20,Drop The World,Lil Wayne Featuring Eminem,18,2
2010-01-22,21,Meet Me Halfway,The Black Eyed Peas,7,17
2010-01-22,22,Paparazzi,Lady Gaga,6,20
2010-01-22,23,"Hey, Soul Sister",Train,23,15
2010-01-22,24,Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,20,12
2010-01-22,25,Already Gone,Kelly Clarkson,13,24
2010-01-22,26,According To You,Orianthi,26,6
2010-01-22,27,Your Love Is My Drug,Ke$ha,27,1
2010-01-22,28,Say Aah,Trey Songz Featuring Fabolous,28,9
2010-01-22,29,Use Somebody,Kings Of Leon,4,50
2010-01-22,30,Sweet Dreams,Beyonce,10,25
2010-01-22,31,Telephone,Lady Gaga Featuring Beyonce,30,7
2010-01-22,32,Tie Me Down,New Boyz Featuring Ray J,26,13
2010-01-22,33,Live Like We're Dying,Kris Allen,30,11
2010-01-22,34,Imma Be,The Black Eyed Peas,34,6
2010-01-22,35,Evacuate The Dancefloor,Cascada,25,22
2010-01-22,36,Naturally,Selena Gomez & The Scene,36,3
2010-01-22,37,Fifteen,Taylor Swift,23,19
2010-01-22,38,Money To Blow,Birdman Featuring Lil Wayne & Drake,26,14
2010-01-22,39,Fallin' For You,Colbie Caillat,12,28
2010-01-22,40,Gangsta Luv,Snoop Dogg Featuring The-Dream,35,12
2010-01-22,41,Carry Out,Timbaland Featuring Justin Timberlake,31,6
2010-01-22,42,One Time,Justin Bieber,17,25
2010-01-22,43,Cowboy Casanova,Carrie Underwood,11,17
2010-01-22,44,In My Head,Jason Derulo,44,5
2010-01-22,45,I Can Transform Ya,Chris Brown Featuring Lil Wayne & Swizz Beatz,20,14
2010-01-22,46,The Truth,Jason Aldean,46,10
2010-01-22,47,Smile,Uncle Kracker,43,23
2010-01-22,48,One Less Lonely Girl,Justin Bieber,16,13
2010-01-22,49,Try Sleeping With A Broken Heart,Alicia Keys,27,8
2010-01-22,50,If You Only Knew,Shinedown,42,11
2010-01-22,51,White Liar,Miranda Lambert,38,13
2010-01-22,52,Haven't Met You Yet,Michael Buble,52,15
2010-01-22,53,It Kills Me,Melanie Fiona,49,8
2010-01-22,54,I Invented Sex,Trey Songz Featuring Drake,42,12
2010-01-22,55,Southern Voice,Tim McGraw,49,12
2010-01-22,56,Life After You,Daughtry,56,6
2010-01-22,57,All The Right Moves,OneRepublic,53,14
2010-01-22,58,Give It Up To Me,Shakira Featuring Lil Wayne,29,9
2010-01-22,59,Consider Me Gone,Reba,38,15
2010-01-22,60,Baby By Me,50 Cent Featuring Ne-Yo,28,11
2010-01-22,61,Spotlight,Gucci Mane Featuring Usher,42,11
2010-01-22,62,Uprising,Muse,37,18
2010-01-22,63,I Wanna Make You Close Your Eyes,Dierks Bentley,52,15
2010-01-22,64,Why Don't We Just Dance,Josh Turner,64,9
2010-01-22,65,Whataya Want From Me,Adam Lambert,65,4
2010-01-22,66,Never Gonna Be Alone,Nickelback,58,11
2010-01-22,67,Shut It Down,Pitbull Featuring Akon,67,6
2010-01-22,68,I Am,Mary J. Blige,65,5
2010-01-22,69,Do I,Luke Bryan,34,19
2010-01-22,70,History In The Making,Darius Rucker,64,11
2010-01-22,71,Hillbilly Bone,Blake Shelton Featuring Trace Adkins,65,3
2010-01-22,72,Crawl,Chris Brown,53,7
2010-01-22,73,Breakeven,The Script,73,6
2010-01-22,74,Heartbreak Warfare,John Mayer,74,5
2010-01-22,75,Eight Second Ride,Jake Owen,70,10
2010-01-22,76,Russian Roulette,Rihanna,9,12
2010-01-22,77,I Wanna Rock,Snoop Dogg,75,5
2010-01-22,78,Someday,Rob Thomas,72,10
2010-01-22,79,Halfway Gone,Lifehouse,79,5
2010-01-22,80,I Will Not Bow,Breaking Benjamin,40,19
2010-01-22,81,Papers,Usher,31,13
2010-01-22,82,Red Light,David Nail,54,16
2010-01-22,83,Shots,LMFAO Featuring Lil Jon,83,5
2010-01-22,84,1901,Phoenix,84,6
2010-01-22,85,Take It Off,Ke$ha,85,1
2010-01-22,86,Sex Therapy,Robin Thicke,79,4
2010-01-22,87,American Saturday Night,Brad Paisley,86,5
2010-01-22,88,Cryin' For Me (Wayman's Song),Toby Keith,88,5
2010-01-22,89,Temporary Home,Carrie Underwood,89,3
2010-01-22,90,Break,Three Days Grace,73,18
2010-01-22,91,Hot Mess,Cobra Starship,64,4
2010-01-22,92,That's How Country Boys Roll,Billy Currington,85,6
2010-01-22,93,Love This Pain,Lady Antebellum,93,1
2010-01-22,94,Say Something,Timbaland Featuring Drake,94,1
2010-01-22,95,Steady Mobbin',Young Money Featuring Gucci Mane,48,3
2010-01-22,96,I'm Going In,Drake Featuring Lil Wayne & Young Jeezy,40,17
2010-01-22,97,Wasted,Gucci Mane Featuring Plies Or OJ Da Juiceman,36,19
2010-01-22,98,Body Language,Jesse McCartney Featuring T-Pain,35,15
2010-01-22,99,Bad Habits,Maxwell,71,14
2010-01-22,100,A Little More Country Than That,Easton Corbin,100,1
2010-01-29,1,TiK ToK,Ke$ha,1,15
2010-01-29,2,Bad Romance,Lady Gaga,2,12
2010-01-29,3,Empire State Of Mind,Jay-Z + Alicia Keys,1,19
2010-01-29,4,BedRock,Young Money Featuring Lloyd,4,8
2010-01-29,5,Replay,Iyaz,2,22
2010-01-29,6,Sexy Chick,David Guetta Featuring Akon,6,24
2010-01-29,7,"Hey, Soul Sister",Train,7,16
2010-01-29,8,Hard,Rihanna Featuring Jeezy,8,9
2010-01-29,9,Fireflies,Owl City,1,22
2010-01-29,10,How Low,Ludacris,10,6
2010-01-29,11,I Gotta Feeling,The Black Eyed Peas,1,32
2010-01-29,12,Blah Blah Blah,Ke$ha Featuring 3OH!3,7,2
2010-01-29,13,Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,10,11
2010-01-29,14,Whatcha Say,Jason Derulo,1,23
2010-01-29,15,Imma Be,The Black Eyed Peas,15,7
2010-01-29,16,Down,Jay Sean Featuring Lil Wayne,1,29
2010-01-29,17,Need You Now,Lady Antebellum,5,23
2010-01-29,18,Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,18,13
2010-01-29,19,Say Aah,Trey Songz Featuring Fabolous,19,10
2010-01-29,20,Telephone,Lady Gaga Featuring Beyonce,20,8
2010-01-29,21,According To You,Orianthi,21,7
2010-01-29,22,You Belong With Me,Taylor Swift,2,39
2010-01-29,23,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",8,18
2010-01-29,24,3,Britney Spears,1,15
2010-01-29,25,Live Like We're Dying,Kris Allen,25,12
2010-01-29,26,Party In The U.S.A.,Miley Cyrus,2,23
2010-01-29,27,Paparazzi,Lady Gaga,6,21
2010-01-29,28,Already Gone,Kelly Clarkson,13,25
2010-01-29,29,Naturally,Selena Gomez & The Scene,29,4
2010-01-29,30,Meet Me Halfway,The Black Eyed Peas,7,18
2010-01-29,31,Tie Me Down,New Boyz Featuring Ray J,26,14
2010-01-29,32,Carry Out,Timbaland Featuring Justin Timberlake,31,7
2010-01-29,33,Use Somebody,Kings Of Leon,4,51
2010-01-29,34,Evacuate The Dancefloor,Cascada,25,23
2010-01-29,35,Sweet Dreams,Beyonce,10,26
2010-01-29,36,Fifteen,Taylor Swift,23,20
2010-01-29,37,In My Head,Jason Derulo,37,6
2010-01-29,38,Money To Blow,Birdman Featuring Lil Wayne & Drake,26,15
2010-01-29,39,Gangsta Luv,Snoop Dogg Featuring The-Dream,35,13
2010-01-29,40,Haven't Met You Yet,Michael Buble,40,16
2010-01-29,41,The Truth,Jason Aldean,41,11
2010-01-29,42,Fallin' For You,Colbie Caillat,12,29
2010-01-29,43,If You Only Knew,Shinedown,42,12
2010-01-29,44,Smile,Uncle Kracker,43,24
2010-01-29,45,Cowboy Casanova,Carrie Underwood,11,18
2010-01-29,46,Try Sleeping With A Broken Heart,Alicia Keys,27,9
2010-01-29,47,White Liar,Miranda Lambert,38,14
2010-01-29,48,Life After You,Daughtry,48,7
2010-01-29,49,It Kills Me,Melanie Fiona,49,9
2010-01-29,50,All The Right Moves,OneRepublic,50,15
